ID het time_period
Danaus_plexippus_MI_2000_03 0.00555173 1996-2003
Danaus_plexippus_MI_2001_01 0.00575 1996-2003
Danaus_plexippus_MI_2001_02 0.00547818 1996-2003
Danaus_plexippus_MI_2002_01 0.00501747 1996-2003
Danaus_plexippus_MI_2003_01 0.00475264 1996-2003
Danaus_plexippus_MN_1926_01 0.0052256 1901-1929
Danaus_plexippus_MN_1926_02 0.00604889 1901-1929
Danaus_plexippus_MN_1928_01 0.00607379 1901-1929
Danaus_plexippus_MN_1928_02 0.00575741 1901-1929
Danaus_plexippus_MN_1928_04 0.00537886 1901-1929
Danaus_plexippus_MN_1929_02 0.0043101 1901-1929
Danaus_plexippus_MN_1934_01 0.00478901 1931-1946
Danaus_plexippus_MN_1934_02 0.00581679 1931-1946
Danaus_plexippus_MN_1934_04 0.0048873 1931-1946
Danaus_plexippus_MN_1937_01 0.00540417 1931-1946
Danaus_plexippus_MN_1940_01 0.00577182 1931-1946
Danaus_plexippus_MN_1941_01 0.00528281 1931-1946
Danaus_plexippus_MN_1941_02 0.00526738 1931-1946
Danaus_plexippus_MN_1953_01 0.00622641 1953-1959
Danaus_plexippus_MN_1959_01 0.00562624 1953-1959
Danaus_plexippus_MN_1959_02 0.00546897 1953-1959
Danaus_plexippus_MN_1972_01 0.00577202 1969-1973
Danaus_plexippus_MN_1972_05 0.00616676 1969-1973
Danaus_plexippus_MN_1972_08 0.0061162 1969-1973
Danaus_plexippus_MN_1983_01 0.00557983 1982-1988
Danaus_plexippus_MN_1983_02 0.00655347 1982-1988
Danaus_plexippus_MN_1983_03 0.00628544 1982-1988
Danaus_plexippus_MN_1984_02 0.00583711 1982-1988
Danaus_plexippus_MN_1984_03 0.00565236 1982-1988
Danaus_plexippus_MN_1985_01 0.00557291 1982-1988
Danaus_plexippus_MN_1985_03 0.0054277 1982-1988
Danaus_plexippus_MN_1985_04 0.00573651 1982-1988
Danaus_plexippus_MN_1996_01 0.00538354 1996-2003
Danaus_plexippus_MN_1996_02 0.00534758 1996-2003
Danaus_plexippus_MN_1996_03 0.00558072 1996-2003
Danaus_plexippus_MN_1996_04 0.00577783 1996-2003
Danaus_plexippus_MN_2000_01 0.00542891 1996-2003
Danaus_plexippus_MO_1901_01 0.00598498 1901-1929
Danaus_plexippus_MO_1931_01 0.00563731 1931-1946
Danaus_plexippus_MO_1931_02 0.00553729 1931-1946
Danaus_plexippus_MO_1933_01 0.00550508 1931-1946
Danaus_plexippus_MO_1933_02 0.00558503 1931-1946
Danaus_plexippus_NE_1915_01 0.00507299 1901-1929
Danaus_plexippus_NE_1916_02 0.00572718 1901-1929
Danaus_plexippus_NE_1946_01 0.00575089 1931-1946
Danaus_plexippus_NE_1953_01 0.0063463 1953-1959
Danaus_plexippus_NE_1954_01 0.00639186 1953-1959
Danaus_plexippus_NE_2001_01 0.00563372 1996-2003
Danaus_plexippus_NE_2024_01 0.00470288 2023-2024
Danaus_plexippus_NE_2024_02 0.0043215 2023-2024
Danaus_plexippus_NE_2024_03 0.00450686 2023-2024
Danaus_plexippus_NE_2024_04 0.00460284 2023-2024
Danaus_plexippus_NE_2024_05 0.00439308 2023-2024
Danaus_plexippus_NE_2024_06 0.00454592 2023-2024
Danaus_plexippus_NE_2024_07 0.00458475 2023-2024
Danaus_plexippus_NE_2024_08 0.00480101 2023-2024
Danaus_plexippus_NE_2024_10 0.00447815 2023-2024
Danaus_plexippus_NE_2024_11 0.00438542 2023-2024
Danaus_plexippus_NE_2024_12 0.0044426 2023-2024
Danaus_plexippus_NE_2024_13 0.0041533 2023-2024
Danaus_plexippus_NE_2024_14 0.00446202 2023-2024
Danaus_plexippus_NE_2024_15 0.00450205 2023-2024
Danaus_plexippus_NE_2024_16 0.00443787 2023-2024
Danaus_plexippus_NE_2024_17 0.00450666 2023-2024
Danaus_plexippus_OR_1955_01 0.00500504 1953-1959
